xai_quality_bucket,error_type,rows,avg_confidence,avg_p_up,avg_heat_foreground,avg_heat_background
high,FN,2,0.6456680744886398,0.35433192551136017,0.32840994144358227,0.6715900585564177
high,FP,33,0.6286521445621144,0.6286521445621144,0.3241425220029599,0.67585747799704
high,TN,4,0.526801809668541,0.47319819033145905,0.34101708998924846,0.6589829100107516
high,TP,21,0.6222505654607501,0.6222505654607501,0.32357598670907717,0.6764240132909227
low,FN,338,0.620652672718968,0.3793473272810321,0.24217557764243114,0.7578244223575687
low,FP,71,0.6180626397401514,0.6180626397401514,0.2486325849211252,0.7513674150788748
low,TN,483,0.6359655970927351,0.3640344029072649,0.24988443827772766,0.7501155617222723
low,TP,73,0.6064895995675701,0.6064895995675701,0.23751161212743976,0.7624883878725602
medium,FN,124,0.6244396139537135,0.37556038604628655,0.2938253335469133,0.7061746664530867
medium,FP,169,0.5855644592166652,0.5855644592166652,0.2836328003783915,0.7163671996216084
medium,TN,168,0.6401638209465004,0.3598361790534995,0.28955431061848697,0.7104456893815131
medium,TP,160,0.5999232638627291,0.5999232638627291,0.2820187155200172,0.7179812844799827
